density,nematic,polar,nematic_std,polar_std,fraction_elongated,fraction_elongated_std,n_realizations
0.01,0.08942776659614579,0.08925222103389258,0.040164667436163634,0.045245357031726344,0.9999506250000001,4.078106470035356e-05,64
0.05,0.21572458039839626,0.2632698047956731,0.09198777614133789,0.11075986426556136,0.9985218749999999,0.0007839802293425973,64
0.1,0.49911874893121433,0.6129261001474735,0.13514268977590857,0.16630336710360455,0.9973774999999999,0.0020297454684434354,64
0.2,0.8211720174625665,0.898987783155917,0.11572338156880223,0.06413301409736638,0.99936875,0.0012704498640807986,64
0.3,0.9078870794017349,0.9414897586624369,0.04757754843752393,0.06238709212548721,0.9996175,0.0019506140669275122,64
0.4,0.9275359340151657,0.9186352317908453,0.02996100117449122,0.13908386720989796,0.9999193749999999,0.00028971729515363053,64
0.5,0.9351117360843848,0.752244119857382,0.02939225992309236,0.29672383033037564,0.999109375,0.003499081001797923,64
0.6,0.9315857772722649,0.6812561962056112,0.03014581872290679,0.31682194153472315,0.9983274999999999,0.008022650078728077,64
0.7,0.9337431377288627,0.642742019092292,0.028979951742862907,0.26011241551018843,0.998578125,0.006881642217027427,64
0.71,0.9296651619973295,0.6265417153912496,0.0309830134835511,0.27285861648802207,0.990565,0.03666388872593753,64
0.72,0.9355730092445635,0.6149397254410969,0.026288769059879535,0.279279150571025,0.994906875,0.020886359251381693,64
0.73,0.9360149889835383,0.5997836835285777,0.02533365957322621,0.26856355744968446,0.9978256249999999,0.015248849436170067,64
0.74,0.9311022023582336,0.6551157674447656,0.027004173948908767,0.23962115989778945,0.9888931249999999,0.038836781162085866,64
0.75,0.9387915534378369,0.5648534127421555,0.02613566209972109,0.2626520799947657,0.9863062499999999,0.04821321545431753,64
0.76,0.9426914178038345,0.5949723600885275,0.024655734693555205,0.26193476281809663,0.98789125,0.042119139543359836,64
0.77,0.9248119600349738,0.5910145638437035,0.11945480345181997,0.26592852963068364,0.967879375,0.13148888684859472,64
0.78,0.9352559120101414,0.6729115425012148,0.02381127442996883,0.2222855211037862,0.984968125,0.04808994703628175,64
0.79,0.9145786892075254,0.5918592506950413,0.12823139009390494,0.27125272781536675,0.9512575000000001,0.14989616738537848,64
0.8,0.8642337996297165,0.5640840888010535,0.25449668774322215,0.3058622656188343,0.908115,0.2712056074243538,64
0.81,0.7888141975055352,0.5056458962060173,0.3435143686561796,0.33554423621709556,0.808758125,0.35860727590629904,64
0.82,0.6930993005023226,0.4123121927988258,0.42058234150658264,0.37043059726679356,0.718254375,0.438339691968636,64
0.83,0.5148661759120763,0.3193409620822768,0.4726765777973307,0.3603049783808737,0.54474625,0.5000484030015939,64
0.84,0.32210832469882744,0.21428289299637537,0.43983591121357346,0.32379507993806655,0.31622249999999996,0.4506629455960777,64
0.85,0.21413254798397707,0.14358407789048794,0.39271710622574757,0.30179644301740827,0.193549375,0.38587534766568216,64
0.86,0.10583340254744361,0.06390420599249923,0.276151718001089,0.18231520584214933,0.06812062499999999,0.22377553884133572,64
0.87,0.0893540049350017,0.08560367551759196,0.2815951892881815,0.27087378112262045,0.005398124999999999,0.04010922701407577,64
0.88,0.04599157607245487,0.030693127330575595,0.2090997625960524,0.17117048808202978,0.000159375,0.0007476351605785628,64
0.89,0.0,0.0,0.0,0.0,0.0,0.0,64
0.9,0.015625,0.015625,0.125,0.125,3.125e-05,0.00025000000000000006,64
