density,mean_aspect_ratio,fraction_elongated,mean_aspect_ratio_std,fraction_elongated_std,n_realizations
0.01,4.999725,0.9999312499999999,0.0003290733073686885,8.226832684215824e-05,64
0.05,4.992891666666667,0.9982229166666666,0.008131437891723202,0.0020328594729307416,64
0.1,4.990575,0.9976437500000002,0.010443292742985793,0.002610823185746377,64
0.2,4.9969875,0.9992468750000001,0.004274775281076676,0.0010686938202691366,64
0.3,4.995345833333333,0.9988364583333333,0.019037936229355887,0.0047594840573389335,64
0.4,4.998108333333334,0.9995270833333334,0.006207096126856882,0.0015517740317141824,64
0.5,4.9972916666666665,0.9993229166666666,0.009603669933441104,0.002400917483360241,64
0.6,4.989520833333334,0.9973802083333334,0.03678922255149687,0.009197305637874211,64
0.7,4.991758333333333,0.9979395833333333,0.03791860864844883,0.009479652162112275,64
0.71,4.950379166666666,0.9875947916666666,0.155778969211756,0.038944742302938984,64
0.72,4.9754958333333335,0.9938739583333334,0.08646933160746641,0.02161733290186651,64
0.73,4.989229166666667,0.9973072916666668,0.061228189004312344,0.015307047251078081,64
0.74,4.953670833333334,0.9884177083333334,0.15537672617556644,0.038844181543891645,64
0.75,4.944616666666667,0.9861541666666667,0.19299740272946006,0.048249350682365015,64
0.76,4.952191666666667,0.9880479166666667,0.16709072802911032,0.04177268200727758,64
0.77,4.870841666666667,0.9677104166666666,0.5258859462186979,0.13147148655467447,64
0.78,4.927733333333333,0.9819333333333333,0.2158088801085028,0.053952220027125686,64
0.79,4.776316666666666,0.9440791666666667,0.7171632518021609,0.17929081295054022,64
0.8,4.607120833333333,0.9017802083333333,1.0821822500929432,0.2705455625232358,64
0.81,4.152895833333334,0.7882239583333335,1.479476865925169,0.36986921648129223,64
0.82,3.7221124999999997,0.680528125,1.7132778868542529,0.4283194717135632,64
0.83,2.9467499999999998,0.4866875,1.8876366145825105,0.4719091536456277,64
0.84,1.8836833333333334,0.22092083333333334,1.4473106144410472,0.3618276536102618,64
0.85,1.6092083333333334,0.15230208333333334,1.3026101273655692,0.3256525318413923,64
0.86,1.1613,0.04032499999999999,0.6048777354557598,0.15121943386393996,64
0.87,1.0107166666666665,0.0026791666666666656,0.055661275916783465,0.01391531897919587,64
0.88,1.000875,0.00021875,0.004061042168220285,0.0010152605420550769,64
0.89,1.0,0.0,0.0,0.0,64
0.9,1.000125,3.125e-05,0.00099999999999989,0.00025000000000000006,64
